Designator,Mid X,Mid Y,Layer,Rotation,
"C1","18.25mm","10.3mm","T","90",
"C2","26.73mm","4.13mm","T","90",
"C3","19.53mm","4.13mm","T","90",
"D1","14.87mm","10.56mm","T","270",
"H1","6.48mm","19.56mm","T","180",
"H2","16.26mm","19.56mm","T","180",
"H3","26.04mm","19.56mm","T","180",
"H4","35.81mm","19.56mm","T","180",
"H5","37.34mm","6.73mm","T","90",
"LED1","21.98mm","4.17mm","T","90",
"R1","14.86mm","4.12mm","T","90",
"R2","17.16mm","4.12mm","T","270",
"R3","24.37mm","4.12mm","T","270",
"R4","29.08mm","4.12mm","T","90",
"U1","22.35mm","10.63mm","T","180",
"U2","27.81mm","10.67mm","T","0",
"USBC1","6.48mm","4.06mm","T","0",
